Year,Gender (M/F),PE Teacher,Curl-Ups,Push- Ups,Pacer,Mile
2017,M,Ribbens,80,45,115,5:41
2018,F,Magliocco,80,35,106,6:04
2018,F,Piane,74,30,105,6:23
2017,F,Magliocco,80,35,95,6:35
2017,F,Moses,57,5,32,9:30
2018,F,Greene,20,16,23,9:16
2019,F,Dyra,80,10,50,8:04
2019,M,Grotthuss,35,23,28,9:49
2017,M,ZAVALA,80,20,69,6.4
2017,M,Piane,30,25,76,8:29
2019,F,K Miller,80,25,42,8:36
2017,F,Dyra,80,,54,7:53
2019,F,K. Miller,80,41,61,8:14
2017,F,Ribbens,56,60,,8:06
2017,F,Dyra,42,18,54,7:53
2017,M,ZAVALA,74,20,61,7.46
2019,F ,Dyra,80,16,64,7:29
2019,M,Dyra,80,25,65,6:53
2017,f,janda,23,23,41,8:53
2019,M,Dyra,48,10,50,8:04
2018,M,Dyra,37,30,69,6:12
2018,F,Grotthuss,80,42,71,7:50
2018,F,ZAVALA,35,20,33,DNP
2018,F,Taylor,45,15,40,10:00
2018,F,Greene,35,33,,
2019,F,Grotthuss,80,32,66,7:05
2018,F,Greene,34,22,28,10:31
2019,F,K. Miller,80,27,60,9:28
2018,F,ZAVALA,40,40,50,7.32
2019,F,miller,80,45,27,10:18
2017,M,ZAVALA,80,28,73,6.26
2019,F,Grotthuss,80,45,96,6:15
2018,M,ZAVALA,80,10,60,5.53
2017,M,Magliocco,80,30,106,7:53
2017,F,Dyra,25,9,26,Rx
2018,F,Taylor,45,14,40,9:05
2017,F,Magliocco,30,15,47,8:30
2017,F,janda,80,15,42,7:57
2019,F,Taylor,80,14,50,8:41
2017,F,janda,70,10,32,7:39
2019,F,Taylor,60,21,50,8:03
2017,M,Grotthuss,80,39,71,5:12
2019,F,Dyra,80,9,27,8:45
2019,M,K. Miller,61,20,60,8:02
2017,F,Magliocco,26,12,43,8:56
2017,F,ZAVALA,0,11,32,9.06
2018,M,Moses,80,10,83,7:26
2017,F,Ribbens,60,16,,10:00
2019,M,miller,8,6,80,8:26
2019,F,Grotthuss,47,11,24,10:10
2017,M,Ribbens,80,21,82,6:12
2017,F,Greene,53,22,37,9:16
2018,M,Piane,80,23,105,5:44
2017,M,Dyra,21,20,31,8:02
2018,F,janda,50,10,32,9:10
2018,M,Moses,32,19,33,9:24
2017,F,ZAVALA,20,15,26,11.07
2019,M,Dyra,80,22,75,6:29
2019,M,Grotthuss,42,26,50,8:02
2019,F,miller,41,5,20,10:22
2018,F,Greene,50,18,41,8:39
2018,F,ZAVALA,45,24,62,7.35
2017,F,Greene,80,18,41,7:49
2019,M,Grotthuss,80,41,102,5:58
2019,F,Grotthuss,80,20,50,8:22
2018,F,ZAVALA,80,24,34,DNP
2018,F,janda,10,35,,9:35
2017,M,Moses,80,50,,6:30
2018,F,Greene,80,10,24,10:14
2018,F,Moses,80,21,50,8:08
2018,M,ZAVALA,80,16,51,6.49
2017,F,Taylor,30,16,40,9:46
2019,M,Grotthuss,80,10,22,10:20
2017,F,janda,15,30,34,9:52
2019,F,K. Miller,46,20,50,8:14
2017,F,Dyra,80,30,27,6:58
2019,M,Grotthuss,80,22,34,7:50
2018,F,Greene,80,38,48,8:49
2018,F,Greene,80,21,63,
2018,F,ZAVALA,45,20,24,10.45
2019,F,K. miller ,80,5,45,8:15
2017,M,ZAVALA,80,24,70,6.34
2019,M,Dyra,80,21,81,6:59
2019,M,Taylor,38,20,37,7:58
2019,F,miller,,12,12,10:24
2017,F,Greene,46,23,50,8:14
2017,F,Dyra,22,5,40,9:29
2019,F,K. Miller,80,27,42,8:58
2018,M,Piane,80,11,32,12:47
2019,F,Grotthuss,80,20,35,10:10
2018,F,Greene,18,21,,
2018,M,Moses,45,40,52,7:44
2018,F,ZAVALA,80,21,DNP,8.52
2017,M,Dyra,21,20,33,
2017,F,Greene,20,23,,8:25
2017,F,Piane,20,10,100,8:26
2017,F,ZAVALA,40,26,41,7.53
2018,F,Ribbens,60,21,,
2017,F,Ribbens,30,18,41,9:05
2018,F,Greene,80,32,62,7:08
2019,M,miller,80,30,84,6:22
2018,F,Taylor,25,14,36,10:55
2019,M,Taylor,45,14,56,7:18
2018,F,Greene,80,26,75,7:10
2019,F,K. Miller,80,23,61,8:06
2017,M,Piane,70,25,72,8:38
2019,F,Taylor,5,4,28,9:05
2017,F,Greene,53,21,41,8:33
2019,F,miller,50,4,26,9:41
2017,,,,,,
2017,M,Dyra,80,30,90,6:22
2019,M,K Miller,80,35,81,6:44
2017,M,Magliocco,80,86,62,7:12
2017,F,Greene,60,17,26,
2017,F,Magliocco,45,33,43,9:08
2017,F,Greene,80,15,50,8:50
2018,F,Greene,45,13,52,8:06
2019,F,miller,25,12,12,10:20
2017,F,Greene,80,66,41,8:52
2018,F,Taylor,73,20,52,8:56
2018,M,Piane,80,27,105,7:04
2018,M,Moses,36,5,,12:02
2017,F,Ribbens,51,25,45,8:17
2019,F,Dyra,X,X,50,7:42
2019,F,Grottthuss,80,35,50,8:25
2019,F,Grotthuss,80,25,23,10:10
2019,,,,,,
2017,M,Grotthuss,80,51,71,7:39
2018,M,Greene,80,30,62,7:02
2018,M,Piane,80,20,102,7:50
2018,M,Piane,80,20,61,9:09
2019,F,K Miller,80,25,80,7:03
2017,F,janda,40,21,32,
2017,M,ZAVALA,27,45,74,6.19
2019,F,Grotthuss,80,33,46,8:15
2018,F,Taylor,48,0,40,10:55
2018,F,janda,63,10,32,9:10
2017,M,ZAVALA,80,30,28,6.25
2019,F,Grotthuss,80,24,56,7:32
2017,F,Taylor,20,20,36,10:00
2019,F,K. Miller,55,10,30,10:31
2018,M,Greene,80,43,,
2019,M,Taylor,41,25,51,8:09
2018,F,ZAVALA,80,25,34,8.38
2017,F,Ribbens,51,,41,8:56
2018,M,Magliocco,80,30,68,8:11
2018,M,Moses,80,23,71,8:42
2019,F,Grotthuss,80,13,35,8:58
2018,F,Magliocco,25,23,31,8:49
2017,M,Dyra,RX,RX,RX,RX
2019,F,Dyra,X,X,53,7:30
